"Gemeinde";"Flaeche";"Bevoelkerung"
"Laage, Stadt";114,9;6549
"Wardow";69,4;1313
"Alt Sührkow";25,52;385
"Dahmen";36,51;453
"Dalkendorf";15,34;244
"Groß Roge";24,37;594
"Groß Wokern";21,92;1011
"Groß Wüstenfelde";26,62;780
"Hohen Demzin";24,06;362
"Jördenstorf";27,68;1084
"Lelkendorf";29,88;425
"Prebberede";42,94;763
"Schorssow";31,18;450
"Schwasdorf";24,36;431
"Sukow-Levitzow";20,23;500
"Thürkow";14,73;373
"Warnkenhagen";19,61;310
"Alt Bukow";15,28;508
"Am Salzhaff";15,51;519
"Bastorf";24,38;1083
"Biendorf";40,99;1249
"Carinerland";52,67;1298
"Rerik, Ostseebad, Stadt";34,22;2192
"Bentwisch";29,26;3542
"Blankenhagen";25,28;1101
"Gelbensande";34,05;1859
"Mönchhagen";10,74;1280
"Rövershagen";20,61;2857
"Benitz";9,72;418
"Bröbberow";14,39;684
"Kassow";14,42;345
"Rukieten";12,3;364
"Schwaan, Stadt";38,28;5070
"Vorbeck";15,6;381
"Wiendorf";17,65;802
"Cammin";32,22;805
"Gnewitz";10,09;257
"Grammow";16,25;154
"Nustrow";6,95;172
"Selpin";33,1;493
"Stubbendorf";9,64;162
"Tessin, Blumenstadt";24,51;4012
"Thelkow";25,86;466
"Zarnewanz";15,24;454
"Elmenhorst/Lichtenhagen";12,07;4243
"Kritzmow";14,93;3927
"Lambrechtshagen";13,55;2961
"Papendorf";22,64;2525
"Pölchow";12,56;943
"Stäbelow";15,12;1408
"Ziesendorf";26,51;1430
"Binz, Ostseebad";25,18;5545
"Grimmen, Stadt";50,51;9586
"Marlow, Stadt";140,52;4694
"Putbus, Stadt";66,69;4531
"Sassnitz, Stadt";47,41;9199
"Stralsund, Hansestadt";54,59;59363
"Süderholz";149,55;4074
"Zingst, Ostseeheilbad";50,5;3173
"Altenpleen";20,1;1006
"Groß Mohrdorf";41,47;755
"Klausdorf";11,78;690
"Kramerhof";18,07;1905
"Preetz";14,2;1031
"Prohn";16,2;2141
"Barth, Stadt";41,18;8777
"Divitz-Spoldershagen";27,56;468
"Fuhlendorf";17,19;820
"Karnin";12,67;216
"Kenz-Küstrow";17,76;536
"Löbnitz";22,32;598
"Lüdershagen";13,98;572
"Pruchten";8,23;733
"Saal";49,3;1411
"Trinwillershagen";34,32;1159
"Bergen auf Rügen, Stadt";51,49;13689
"Buschvitz";10,25;236
"Garz/Rügen, Stadt";65,91;2264
"Gustow";28,41;634
"Lietzow";8,39;240
"Parchtitz";25,1;748
"Patzig";8,06;442
"Poseritz";40,2;973
"Ralswiek";16,55;255
"Rappin";28,71;311
"Sehlen";20,6;895
"Ahrenshoop, Ostseebad";5,27;680
"Born a. Darß";63,56;1130
"Dierhagen, Ostseebad";27,63;1561
"Prerow, Ostseebad";11,29;1492
"Wieck a. Darß";9,02;740
"Wustrow, Ostseebad";6,88;1071
"Franzburg, Stadt";15,2;1367
"Glewitz";41,99;564
"Gremersdorf-Buchholz";50,1;648
"Millienhagen-Oebelitz";25,56;327
"Papenhagen";21,01;538
"Richtenberg, Stadt";15,67;1351
"Splietsdorf";26,39;496
"Velgast";71,9;1697
"Weitenhagen";17,06;225
"Wendisch Baggendorf";21,51;543
"Elmenhorst";22,52;717
"Sundhagen";159,81;5339
"Wittenhagen";46,98;1174
"Baabe, Ostseebad";2,26;914
"Göhren, Ostseebad";6,93;1458
"Lancken-Granitz";13,79;491
"Sellin, Ostseebad";14,45;2710
"Zirkow";25,76;705
"Mönchgut, Ostseebad";20,66;1374
"Groß Kordshagen";16,45;320
"Jakobsdorf";17,71;469
"Lüssow";19,03;794
"Niepars";64,95;2511
"Pantelitz";14,42;919
"Steinhagen";33,49;2691
"Wendorf";15,79;859
"Zarrendorf";4,67;1121
"Altenkirchen";22,66;931
"Breege";16,02;575
"Dranske";20,75;1155
"Glowe";22,29;971
"Lohme";13,8;465
"Putgarten";12,63;188
"Sagard";27,92;2460
"Wiek";25,44;1007
"Bad Sülze, Stadt";26,67;1796
"Dettmannsdorf";44,52;1051
"Deyelsdorf";29,85;478
"Drechow";15,55;216
"Eixen";56,16;732
"Grammendorf";35,92;533
"Gransebieth";23,33;549
"Hugoldsdorf";14,24;133
"Lindholz";40,02;641
"Tribsees, Stadt";54,98;2669
"Ahrenshagen-Daskow";58,28;2165
"Ribnitz-Damgarten, Bernsteinstadt";122,83;15721
"Schlemmin";21,78;301
"Semlow";34,69;689
"Altefähr";20,59;1290
"Dreschvitz";22,64;760
"Gingst";21,75;1250
"Insel Hiddensee, Seebad";19,08;1010
"Kluis";21,5;408
"Neuenkirchen";22,94;279
"Rambin";31,47;949
"Samtens";32,5;1985
"Schaprode";19,76;432
"Trent";35,43;656
"Ummanz";43,09;572
"Grevesmühlen, Stadt";52,38;10538
"Insel Poel, Ostseebad";36,34;2528
"Wismar, Hansestadt";41,73;43878
"Bad Kleinen";23,54;3743
"Barnekow";15,63;602
"Bobitz";65,64;2493
"Dorf Mecklenburg";30,06;3346
"Groß Stieten";6,54;640
"Hohen Viecheln";18,72;734
"Lübow";35,35;1587
"Metelsdorf";8,21;516
"Ventschow";13,63;786
"Dragun";20,62;755
"Gadebusch, Stadt";47,76;5457
"Kneese";15,87;353
"Krembz";39,16;886
"Mühlen Eichsen";23,71;976
"Roggendorf";31,26;1058
"Rögnitz";11,43;186
"Veelböken";32,62;662
"Bernstorf";17,57;376
"Gägelow";22,67;2551
"Roggenstorf";20,01;437
"Rüting";15,16;532
"Testorf-Steinfort";23,87;651
"Upahl";48,26;1654
"Warnow";16,07;627
"Stepenitztal";45,25;1704
"Boltenhagen, Ostseebad";18,35;2633
"Damshagen";38,57;1354
"Hohenkirchen";41,09;1222
"Kalkhorst";51,98;1836
"Klütz, Stadt";44,43;3153
"Zierow";10,11;781
"Alt Meteln";23,22;1186
"Brüsewitz";29,94;1961
"Cramonshagen";10,2;528
"Dalberg-Wendelstorf";9,58;556
"Gottesgabe";22,21;767
"Grambow";19,82;654
"Klein Trebbow";25,38;1080
"Lübstorf";43,88;1486
"Lützow";24,89;1569
"Perlin";13,46;378
"Pingelshagen";2,08;543
"Pokrent";15,65;678
"Schildetal";19,38;774
"Seehof";4,35;941
"Zickhusen";12,49;522
"Benz";22,77;660
"Blowatz";30,3;1084
"Boiensdorf";12,77;511
"Hornstorf";14,9;1271
"Krusenhagen";11,25;590
"Neuburg";44,11;2148
"Bibow";23,21;361
"Glasin";39,6;793
"Jesendorf";21,25;502
"Lübberstorf";13,11;233
"Neukloster, Stadt";27,51;4014
"Passee";16,2;199
"Warin, Stadt";44,45;3195
"Zurow";40,8;1275
"Züsow";19,54;302
"Carlow";31,81;1226
"Dechow";15,15;191
"Groß Molzahn";6,31;400
"Holdorf";13,57;405
"Königsfeld";32,75;984
"Rehna, Stadt";44,59;3605
"Rieps";12,32;367
"Schlagsdorf";20,44;1218
"Thandorf";9,09;194
"Utecht";11,09;432
"Wedendorfersee";24,92;706
"Dassow, Stadt";66,96;4038
"Grieben";6,29;162
"Lüdersdorf";54,75;5330
"Menzendorf";9,83;242
"Roduchelstorf";9,93;251
"Schönberg, Stadt";52,19;4711
"Selmsdorf";36,81;3192
"Siemz-Niendorf";26,36;638
"Anklam, Hansestadt";56,68;12312
"Greifswald, Universitäts- und Hansestadt";50,81;59691
"Heringsdorf, Ostseebad";37,81;8425
"Pasewalk, Stadt";55,21;9811
"Strasburg (Uckermark), Stadt";87,48;4451
"Ueckermünde, Seebad , Stadt";85,87;8598
"Buggenhagen";27,11;216
"Krummin";10,63;228
"Lassan, Stadt";28,21;1491
"Lütow";16,34;442
"Sauzin";6,65;426
"Wolgast, Stadt";61,73;12055
"Zemitz";30,93;716
"Ahlbeck";18,76;605
"Altwarp";32,75;440
"Eggesin, Stadt";88,22;4748
"Grambin";18,39;425
"Hintersee";44,6;334
"Leopoldshagen";19,57;618
"Liepgarten";32,89;801
"Lübs";30,21;356
"Luckow";37,33;561
"Meiersberg";10,16;404
"Mönkebude";34,99;755
"Vogelsang-Warsin";63,37;373
"Bargischow";21,78;289
"Blesewitz";12,64;239
"Boldekow";48,52;644
"Bugewitz";57,16;235
"Butzow";12,85;430
"Ducherow";77,53;2346
"Iven";15,74;175
"Krien";21,94;679
"Krusenfelde";12,56;152
"Medow";28,99;502
"Neu Kosenow";25,02;469
"Neuenkirchen";15,7;226
"Postlow";14,75;297
"Rossin";12,63;170
"Sarnow";23,32;366
"Spantekow";70,84;1112
"Stolpe an der Peene";17,67;275
"Neetzow-Liepen";43,23;838
"Alt Tellin";24,39;404
"Bentzin";38,87;869
"Daberkow";15,38;335
"Jarmen, Stadt";30,71;2914
"Kruckow";35,54;644
"Tutow";6,05;995
"Völschow";21,72;514
"Behrenhoff";24,48;816
"Dargelin";15,72;356
"Dersekow";26,26;1149
"Hinrichshagen";10,04;959
"Levenhagen";13,28;414
"Mesekenhagen";25,52;1059
"Neuenkirchen";23,41;2418
"Wackerow";31,79;1547
"Weitenhagen";38,42;2048
"Bergholz";21,76;315
"Blankensee";34,2;552
"Boock";12,89;581
"Glasow";15,59;148
"Grambow";35,31;863
"Krackow";44,18;613
"Löcknitz";22,8;3342
"Nadrensee";20,74;377
"Penkun, Stadt";78,87;1815
"Plöwen";15,2;272
"Ramin";46,97;704
"Rossow";23,15;446
"Rothenklempenow";58,4;582
"Brünzow";16,16;673
"Hanshagen";9,86;908
"Katzow";26,23;609
"Kemnitz";19,34;1155
"Kröslin";22,4;1743
"Loissin";15,48;798
"Lubmin, Seebad";13,84;2176
"Neu Boltenhagen";24,52;567
"Rubenow";35,4;762
"Wusterhusen";19,17;1094
"Görmin";35,2;900
"Loitz, Stadt";89,91;4262
"Sassen-Trantow";45,35;836
"Altwigshagen";28,68;389
"Ferdinandshof";47,37;2732
"Hammer a.d. Uecker";21,62;461
"Heinrichswalde";14,32;385
"Rothemühl";30,75;289
"Torgelow, Stadt";72,19;9307
"Wilhelmsburg";47,2;724
"Brietzig";10,57;185
"Fahrenwalde";26,11;277
"Groß Luckow";8,97;200
"Jatznick";62,24;2208
"Koblentz";22,98;222
"Krugsdorf";8,34;483
"Nieden";6,5;162
"Papendorf";10,42;208
"Polzow";8,51;261
"Rollwitz";35,6;887
"Schönwalde";21,03;410
"Viereck";54,84;996
"Zerrenthin";14,42;475
"Karlshagen, Ostseebad";5,03;3218
"Mölschow";15,45;812
"Peenemünde";25,74;351
"Trassenheide, Ostseebad";6,53;943
"Zinnowitz, Ostseebad";8,89;4194
"Benz";24,73;1131
"Dargen";28,23;586
"Garz";10,12;280
"Kamminke";2,95;244
"Korswandt";12,9;592
"Koserow, Ostseebad";6,07;1730
"Loddin, Seebad";6,12;960
"Mellenthin";19,16;469
"Pudagla";13,27;480
"Rankwitz";30,9;546
"Stolpe auf Usedom";15;373
"Ückeritz, Seebad";13,69;1006
"Usedom, Stadt";39,06;1725
"Zempin, Seebad";3,32;961
"Zirchow";9,53;647
"Bandelin";17,19;539
"Gribow";8,26;138
"Groß Kiesow";47,74;1279
"Groß Polzin";29,58;404
"Gützkow, Stadt";57,65;2974
"Klein Bünzow";34,69;679
"Murchin";46,73;785
"Rubkow";35,03;616
"Schmatzin";17,7;295
"Wrangelsburg";15,29;250
"Ziethen";18,39;439
"Züssow";29,64;1314
"Karlsburg";34,36;1874
"Boizenburg/ Elbe, Stadt";47,42;10829
"Hagenow, Stadt";67,54;12399
"Lübtheen, Stadt";120,16;4715
"Ludwigslust, Stadt";78,64;12270
"Parchim, Stadt";124,81;18278
"Bengerstorf";32,95;542
"Besitz";22,26;460
"Brahlstorf";21,96;712
"Dersenow";22,51;488
"Gresse";21,08;727
"Greven";40,1;736
"Neu Gülze";13,06;785
"Nostorf";20,1;1204
"Schwanheide";26,63;723
"Teldau";27,55;932
"Tessin b. Boizenburg";10,25;404
"Dömitz, Stadt";60,57;2981
"Grebs-Niendorf";31,27;548
"Karenz";6,88;233
"Malk Göhren";22,57;399
"Malliß";25,27;1089
"Neu Kaliß";34,2;1912
"Vielank";77,53;1247
"Gallin-Kuppentin";29,72;444
"Granzin";22,8;376
"Kreien";24,9;345
"Kritzow";25,13;471
"Lübz, Stadt";74,69;6183
"Passow";24,81;693
"Siggelkow";55,57;838
"Werder";18,17;335
"Gehlsbach";33,19;555
"Ruhner Berge";94,56;1878
"Dobbertin";59,25;1078
"Goldberg, Stadt";64,72;3364
"Mestlin";32,8;736
"Neu Poserin";47,38;492
"Techentin";41,72;697
"Balow";12,83;308
"Brunow";21,4;309
"Dambeck";17,39;286
"Eldena";34,21;1134
"Gorlosen";53,22;462
"Grabow, Stadt";72,27;5615
"Karstädt";19,79;584
"Kremmin";16,91;243
"Milow";33,65;371
"Möllenbeck";19,3;180
"Muchow";19,39;271
"Prislich";29,3;697
"Zierzow";13,33;381
"Alt Zachun";8,43;347
"Bandenitz";17,43;513
"Belsch";22,59;222
"Bobzin";6,09;254
"Bresegard bei Picher";16,58;283
"Gammelin";15,64;481
"Groß Krams";10,4;177
"Hoort";22,25;600
"Hülseburg";9,09;165
"Kirch Jesar";18,95;641
"Kuhstorf";15,09;727
"Moraas";16,78;485
"Pätow-Steegen";10,65;416
"Picher";39,09;621
"Pritzier";19,55;473
"Redefin";17,71;553
"Strohkirchen";14,76;306
"Warlitz";23,91;459
"Toddin";31,66;906
"Alt Krenzlin";37,9;745
"Bresegard bei Eldena";11,1;194
"Göhlen";34,02;567
"Groß Laasch";27,42;952
"Lübesse";19,92;703
"Lüblow";21,6;569
"Rastow";52,03;1973
"Sülstorf";18,78;848
"Uelitz";15,09;491
"Warlow";13,91;488
"Wöbbelin";23,56;935
"Blievenstorf";21,6;439
"Brenz";12,52;490
"Neustadt-Glewe, Stadt";94,05;6931
"Domsühl";40,25;1344
"Groß Godems";15,42;400
"Karrenzin";26,46;547
"Lewitzrand";46,82;1377
"Rom";33,71;804
"Spornitz";49,13;1210
"Stolpe";20,6;326
"Ziegendorf";36,78;653
"Zölkow";38,91;747
"Obere Warnow";46,7;809
"Barkhagen";30,39;616
"Plau am See, Stadt";116,27;6231
"Ganzlin";87,94;1394
"Blankenberg";21,42;366
"Borkow";28,15;430
"Brüel, Stadt";27,21;2626
"Dabel";24,77;1353
"Hohen Pritz";23,64;373
"Kobrow";37,47;405
"Kuhlen-Wendorf";49,92;811
"Mustin";26,19;353
"Sternberg, Stadt";67,69;4023
"Weitendorf";42,21;370
"Witzin";18,79;458
"Kloster Tempzin";24,95;558
"Dümmer";31,52;1581
"Holthusen";20,56;973
"Klein Rogahn";11,04;1343
"Pampow";11,01;3069
"Schossin";11,42;242
"Stralendorf";12,03;1371
"Warsow";14,94;660
"Wittenförden";12,28;2488
"Zülow";7,13;135
"Wittenburg, Stadt";80,08;6400
"Wittendörp";104,73;2909
"Gallin";22,71;589
"Kogel";29,94;664
"Lüttow-Valluhn";24,54;863
"Vellahn";106,7;2788
"Zarrentin am Schaalsee, Stadt";91,9;5484
"Banzkow";52,59;2776
"Barnin";17,02;470
"Bülow";23,85;328
"Cambs";20,77;621
"Crivitz, Stadt";75,85;4778
"Demen";46,82;882
"Dobin am See";35,03;2038
"Friedrichsruhe";34,67;927
"Gneven";10,41;365
"Langen Brütz";15,43;487
"Leezen";26,53;2190
"Pinnow";18,75;2038
"Plate";22,13;3307
"Raben Steinfeld";9,6;1068
"Sukow";21,36;1545
"Tramm";42,08;884
"Zapel";11,63;421
"Chemnitz, Stadt";221,03;248563
"Amtsberg";23,27;3666
"Annaberg-Buchholz, Stadt";28,15;19382
"Aue-Bad Schlema, Stadt";36,43;19864
"Breitenbrunn/Erzgeb.";60;5084
"Crottendorf";36,43;3961
"Drebach";32,86;5045
"Ehrenfriedersdorf, Stadt";15,89;4541
"Eibenstock, Stadt";112,24;7035
"Gelenau/Erzgeb.";21,1;4111
"Großolbersdorf";22,57;2725
"Großrückerswalde";26,65;3358
"Grünhain-Beierfeld, Stadt";22,25;5712
"Hohndorf";5,25;3452
"Jahnsdorf/Erzgeb.";26,23;5411
"Johanngeorgenstadt, Stadt";29,59;3783
"Jöhstadt, Stadt";49,69;2495
"Lauter-Bernsbach, Stadt";30,28;8410
"Lößnitz, Stadt";30,49;7871
"Marienberg, Stadt";133,49;16603
"Mildenau";31,67;3412
"Neukirchen/Erzgeb.";20,14;6925
"Oberwiesenthal, Kurort, Stadt";40,03;2045
"Oelsnitz/Erzgeb., Stadt";26,28;10837
"Olbernhau, Stadt";125,35;10458
"Pockau-Lengefeld, Stadt";83,43;7445
"Raschau-Markersbach";39,55;4890
"Schneeberg, Stadt";23,35;13994
"Schönheide";28,15;4216
"Schwarzenberg/Erzgeb., Stadt";46,31;15936
"Sehmatal";44,51;6167
"Stützengrün";28,29;3024
"Thalheim/Erzgeb., Stadt";10,79;5948
"Thermalbad Wiesenbad";24,21;3202
"Thum, Stadt";18,9;4956
"Wolkenstein, Stadt";30,51;3837
"Bärenstein";5,47;2245
"Königswalde";19,51;2189
"Auerbach";8,28;2357
"Burkhardtsdorf";21,22;6035
"Gornsdorf";4,19;1926
"Geyer, Stadt";18,56;3366
"Tannenberg";7,97;1060
"Lugau/Erzgeb., Stadt";22,29;7844
"Niederwürschnitz";6,04;2544
"Scheibenberg, Stadt";9;2038
"Schlettau, Stadt";21,22;2322
"Deutschneudorf";8,06;927
"Heidersdorf";9,51;773
"Seiffen/Erzgeb., Kurort";12,43;2027
"Niederdorf";13,06;1347
"Stollberg/Erzgeb., Stadt";38,99;11139
"Gornau/Erzgeb.";19,78;3748
"Zschopau, Stadt, Motorradstadt";22,79;8996
"Bockau";19,15;2202
"Zschorlau";21,93;5166
"Elterlein, Stadt";45,74;2766
"Zwönitz, Stadt";64,24;11786
"Börnichen/Erzgeb.";15,45;953
"Grünhainichen";28,72;3293
"Augustusburg, Stadt";23,38;4495
"Bobritzsch-Hilbersdorf";55,12;5695
"Brand-Erbisdorf, Stadt";46,33;9010
"Claußnitz";21,38;2915
"Döbeln, Stadt";91,75;23763
"Eppendorf";33,87;3945
"Erlau";37,83;3126
"Flöha, Stadt";27,76;10516
"Frankenberg/Sa., Stadt, Garnisonsstadt";65,62;13750
"Frauenstein, Stadt";58,98;2714
"Freiberg, Stadt, Universitätsstadt";48,31;40485
"Geringswalde, Stadt";30,05;4158
"Großhartmannsdorf";32,2;2450
"Großschirma, Stadt";61,63;5502
"Großweitzschen";44,45;2674
"Hainichen, Stadt";51,74;8448
"Halsbrücke";41,04;4983
"Hartha, Stadt";54,4;6777
"Hartmannsdorf";10,28;4453
"Königshain-Wiederau";31,03;2585
"Kriebstein";31,08;1992
"Leisnig, Stadt";78,09;8249
"Leubsdorf";34,47;3265
"Lichtenau";49,14;7008
"Lunzenau, Stadt";28,33;4080
"Mulda/Sa.";43,14;2428
"Neuhausen/Erzgeb.";48,1;2530
"Niederwiesa";16,39;4745
"Oberschöna";44,3;3249
"Oederan, Stadt";77,33;7782
"Penig, Stadt";63,37;8419
"Rechenberg-Bienenmühle";52,66;1789
"Reinsberg";49,71;2832
"Rossau";53,59;3483
"Roßwein, Stadt";44,1;7355
"Striegistal";77,23;4546
"Waldheim, Stadt";41,71;9033
"Wechselburg";25,65;1753
"Burgstädt, Stadt";25,88;10475
"Mühlau";8,07;2119
"Taura";11,11;2340
"Lichtenberg/Erzgeb.";33,39;2658
"Weißenborn/Erzgeb.";22,57;2491
"Altmittweida";14,08;1882
"Mittweida, Stadt, Hochschulstadt";41,26;14332
"Ostrau";52,7;3463
"Zschaitz-Ottewig";18,26;1298
"Königsfeld";28,42;1356
"Rochlitz, Stadt";23,76;5688
"Seelitz";31,22;1674
"Zettlitz";15,68;672
"Dorfchemnitz";29,58;1512
"Sayda, Stadt";35,3;1697
"Adorf/Vogtl., Stadt";42,97;4729
"Auerbach/Vogtl., Stadt";55,52;17759
"Bad Brambach";43,92;1712
"Bad Elster, Stadt";19,77;3644
"Ellefeld";4,55;2531
"Elsterberg, Stadt";25,1;3738
"Klingenthal, Stadt";50,44;7764
"Lengenfeld, Stadt";46,98;7013
"Markneukirchen, Stadt";69,04;7237
"Muldenhammer";56,07;2887
"Neumark";17,31;2915
"Pausa-Mühltroff, Stadt";64,13;4745
"Plauen, Stadt";102,11;64763
"Pöhl";36,64;2436
"Rodewisch, Stadt";26,88;6451
"Rosenbach/Vogtl.";67,34;4027
"Steinberg";20,37;2664
"Weischlitz";121,63;5700
"Falkenstein/Vogtl., Stadt";31,06;7692
"Grünbach";27,55;1693
"Neustadt/Vogtl.";13,02;972
"Limbach";14,21;1401
"Netzschkau, Stadt";12,51;3756
"Bösenbrunn";34,21;1073
"Eichigt";32,73;1138
"Oelsnitz/Vogtl., Stadt";53,66;9951
"Triebel/Vogtl.";43,09;1187
"Heinsdorfergrund";21,86;1945
"Reichenbach im Vogtland, Stadt";34,47;20371
"Mühlental";39,59;1236
"Schöneck/Vogtl., Stadt";55,03;2997
"Neuensalz";33,49;2045
"Treuen, Stadt";43,74;7704
"Bergen";8,34;945
"Theuma";9,94;1004
"Tirpersdorf";19,57;1367
"Werda";13,59;1474
"Callenberg";39,86;4879
"Fraureuth";22,6;4994
"Gersdorf";9,69;3828
"Glauchau, Stadt";51,62;21951
"Hartenstein, Stadt";36,7;4486
"Hohenstein-Ernstthal, Stadt";18,58;14092
"Langenbernsdorf";36,37;3524
"Langenweißbach";22,62;2418
"Lichtentanne";27,33;6129
"Mülsen";49,7;10812
"Neukirchen/Pleiße";16,89;3809
"Oberlungwitz, Stadt";14,68;5827
"Reinsdorf";21,25;7282
"Werdau, Stadt";65,62;20702
"Wildenfels, Stadt";20,68;3556
"Wilkau-Haßlau, Stadt";12,65;9534
"Zwickau, Stadt";102,58;87172
"Crimmitschau, Stadt";61,15;18567
"Dennheritz";13,37;1270
"Crinitzberg";18,81;1811
"Hartmannsdorf b. Kirchberg";27,17;1366
"Hirschfeld";18,98;1087
"Kirchberg, Stadt";39,56;8082
"Limbach-Oberfrohna, Stadt";50,21;23833
"Niederfrohna";10,13;2220
"Meerane, Stadt";19,81;13888
"Schönberg";15,43;870
"Bernsdorf";14,82;2140
"Lichtenstein/Sa., Stadt";15,47;10946
"St. Egidien";21,26;3190
"Oberwiera";14,34;1026
"Remse";14,79;1609
"Waldenburg, Stadt";25,06;3938
"Dresden, Stadt";328,48;563311
"Arnsdorf";35,87;5047
"Bautzen / Budyšin, Stadt";66,67;38140
"Bernsdorf, Stadt";59,86;6280
"Burkau / Porchow";31,9;2665
"Cunewalde";26,64;4606
"Demitz-Thumitz";21,1;2657
"Doberschau-Gaußig / Dobruša-Huska";40,48;4201
"Elsterheide / Halštrowska Hola";127,61;3445
"Elstra / Halštrow, Stadt";32,63;2702
"Göda / Hodźij";43,27;2988
"Großdubrau / Wulka Dubrawa";54,22;4168
"Großröhrsdorf, Stadt";40,94;9679
"Haselbachtal";37,5;3937
"Hochkirch / Bukecy";41,76;2252
"Hoyerswerda / Wojerecy, Stadt";94,99;31356
"Kamenz / Kamjenc, Stadt";98,3;17015
"Königswartha / Rakecy";47,17;3454
"Kubschütz / Kubšicy";43,64;2515
"Lauta, Stadt";42,14;8082
"Lohsa / Łaz";134,96;5145
"Malschwitz / Malešecy";93,27;4714
"Neukirch/Lausitz";21,3;4770
"Oßling / Wóslink";43,71;2199
"Ottendorf-Okrilla";25,93;9971
"Radeberg, Stadt";29,83;18980
"Radibor / Radwor";61,99;3158
"Schirgiswalde-Kirschau, Stadt";24,34;6057
"Schmölln-Putzkau";32,93;2961
"Schwepnitz";56,03;2461
"Sohland a. d. Spree";37,3;6552
"Spreetal / Sprjewiny Doł";108,8;1786
"Steinigtwolmsdorf";18,04;2748
"Wachau";38,11;4328
"Weißenberg / Wóspork, Stadt";50,96;3062
"Wilthen, Stadt";17,04;4827
"Wittichenau / Kulow, Stadt";61,02;5686
"Bischofswerda, Stadt";46,21;10686
"Rammenau";10,76;1340
"Frankenthal";9,43;928
"Großharthau";37,28;2904
"Großpostwitz/O.L. / Budestecy";16,48;2715
"Obergurig / Hornja Hórka";9,82;2058
"Königsbrück, Stadt";78,48;4651
"Laußnitz";63,81;1847
"Neukirch";39,47;1594
"Neschwitz / Njeswačidło";46,01;2385
"Puschwitz / Bóšicy";11,79;760
"Großnaundorf";14,99;942
"Lichtenberg";14,72;1634
"Ohorn";11,99;2505
"Pulsnitz, Stadt";26,76;7359
"Steina";12,51;1657
"Crostwitz / Chrósćicy";13,33;1026
"Nebelschütz / Njebjelčicy";22,93;1202
"Panschwitz-Kuckau / Pančicy-Kukow";23,35;2053
"Räckelwitz / Worklecy";11,51;1150
"Ralbitz-Rosenthal / Ralbicy-Róžant";31,74;1721
"Boxberg/O.L. / Hamor";217,67;4270
"Ebersbach-Neugersdorf, Stadt";20,45;11441
"Görlitz, Stadt";67,53;56574
"Herrnhut, Stadt";74,13;5849
"Kottmar";47,34;7126
"Krauschwitz i.d. O.L. / Krušwica";106,83;3336
"Leutersdorf";17,08;3450
"Markersdorf";62,54;3848
"Mittelherwigsdorf";36,45;3610
"Niesky, Stadt";53,82;9249
"Oderwitz";35,91;4855
"Ostritz, Stadt";23,48;2249
"Seifhennersdorf, Stadt";19,12;3628
"Zittau, Stadt";66,75;24794
"Bad Muskau / Mužakow, Stadt";15,38;3759
"Gablenz / Jabłońc";14,74;1572
"Bernstadt a. d. Eigen, Stadt";52;3229
"Schönau-Berzdorf a. d. Eigen";27,81;1485
"Großschönau";23,82;5276
"Hainewalde";12,96;1526
"Großschweidnitz";7,47;1258
"Lawalde";14,55;1781
"Löbau, Stadt";78,9;14352
"Rosenbach";23,56;1533
"Dürrhennersdorf";10,71;922
"Neusalza-Spremberg, Stadt";22,91;3165
"Schönbach";9,1;1063
"Bertsdorf-Hörnitz";18;2016
"Jonsdorf, Kurort";9,03;1482
"Olbersdorf";15,16;4509
"Oybin";18,28;1300
"Beiersdorf";6,45;1094
"Oppach";8;2303
"Königshain";19,58;1179
"Reichenbach/O.L., Stadt";62,64;4844
"Vierkirchen";35,41;1651
"Kreba-Neudorf / Chrjebja-Nowa Wjes";31,65;857
"Rietschen / Rěčicy";73,19;2507
"Hähnichen";49,76;1230
"Rothenburg/O.L., Stadt";72,41;4389
"Groß Düben / Dźěwin";15,07;1077
"Schleife / Slepo";42;2443
"Trebendorf / Trjebin";32,05;762
"Weißkeißel / Wuskidź";50,68;1223
"Weißwasser/O.L., Stadt / Běła Woda";63,43;15136
"Hohendubrau / Wysoka Dubrawa";45,54;1846
"Mücka / Mikow";24,35;959
"Quitzdorf am See / Kwetanecy pri jezoru";36,34;1235
"Waldhufen";58,76;2354
"Horka";41,01;1656
"Kodersdorf";42,54;2342
"Neißeaue";47,37;1682
"Schöpstal";29,73;2405
"Coswig, Stadt";25,88;20512
"Diera-Zehren";43,21;3223
"Ebersbach";84,38;4332
"Gröditz, Stadt";28,94;6877
"Großenhain, Stadt";130,36;18102
"Hirschstein";34,58;1978
"Käbschütztal";50,48;2749
"Klipphausen";111,67;10366
"Lommatzsch, Stadt";66,63;4805
"Meißen, Stadt";30,92;29011
"Moritzburg";46,49;8327
"Niederau";35,27;4124
"Nossen, Stadt";122,74;10389
"Priestewitz";61,3;3162
"Radebeul, Stadt";26,14;34096
"Radeburg, Stadt";54,02;7451
"Riesa, Stadt";58,91;29076
"Stauchitz";32,48;3102
"Strehla, Stadt";30,28;3680
"Thiendorf";74,48;3858
"Weinböhla";19,02;10549
"Zeithain";81,62;5520
"Glaubitz";14;2057
"Nünchritz";31,28;5439
"Röderaue";28,82;2562
"Wülknitz";27,91;1637
"Lampertswalde";63,65;2521
"Schönfeld";39,16;1838
"Bannewitz";25,75;11142
"Dippoldiswalde, Stadt";103,99;14161
"Dürrröhrsdorf-Dittersbach";43,51;4307
