"Gemeinde";"Flaeche";"Bevoelkerung"
"Steinbergkirche";35,72;2803
"Bollingstedt";27,05;1509
"Ellingstedt";21,49;731
"Hollingstedt";17,51;1063
"Hüsby";9,68;807
"Jübek";15,58;2716
"Lürschau";16,51;1074
"Schuby";23,94;2748
"Silberstedt";37,91;2435
"Treia";21,72;1601
"Alt Bennebek";14,09;333
"Bergenhusen";18,22;734
"Börm";18,71;770
"Dörpstedt";16,61;573
"Erfde";33,96;2090
"Groß Rheide";15,37;923
"Klein Bennebek";25,63;524
"Klein Rheide";12,82;337
"Kropp";31,94;6692
"Meggerdorf";24,11;690
"Tetenhusen";23,19;948
"Tielen";13,34;296
"Wohlde";14,43;515
"Stapel";32,67;1859
"Bad Bramstedt, Stadt";24,14;15331
"Bad Segeberg, Stadt";18,87;18221
"Ellerau";7,09;6296
"Henstedt-Ulzburg";39,46;28323
"Kaltenkirchen, Stadt";23,11;23538
"Norderstedt, Stadt";58,1;81880
"Wahlstedt, Stadt";15,75;9998
"Armstedt";8,92;376
"Bimöhlen";17,24;1026
"Borstel";5,12;138
"Föhrden-Barl";9,23;289
"Fuhlendorf";6,49;406
"Großenaspe";45,62;3088
"Hagen";8,2;485
"Hardebek";10,01;514
"Hasenkrug";5,2;365
"Heidmoor";18,24;295
"Hitzhusen";7,93;1250
"Mönkloh";12,52;253
"Weddelbrook";14,06;1036
"Wiemersdorf";17,55;1699
"Bornhöved";14,12;3377
"Damsdorf";7,74;233
"Gönnebek";14,86;520
"Schmalensee";8,68;493
"Stocksee";11,38;393
"Tarbek";10,02;169
"Tensfeld";7,65;694
"Trappenkamp";3,45;5300
"Itzstedt";7,13;2549
"Kayhude";5,25;1247
"Nahe";10,37;2602
"Oering";9,09;1429
"Seth";10,55;1911
"Sülfeld";26,05;3335
"Alveslohe";21,56;2814
"Hartenholm";15,38;1959
"Hasenmoor";17,76;764
"Lentföhrden";20,08;2679
"Nützen";21,62;1286
"Schmalfeld";19,33;1961
"Hüttblek";2,75;395
"Kattendorf";9,84;839
"Kisdorf";24,51;4013
"Oersdorf";6,65;899
"Sievershütten";7,08;1092
"Struvenhütten";12,88;987
"Stuvenborn";7,98;866
"Wakendorf II";12,8;1405
"Winsen";4,08;352
"Bark";20,43;1000
"Bebensee";6,68;647
"Fredesdorf";5,89;418
"Groß Niendorf";10,68;656
"Högersdorf";4,95;407
"Kükels";8,45;459
"Leezen";14,98;1801
"Mözen";7,72;453
"Neversdorf";7,22;713
"Schwissel";4,44;257
"Todesfelde";17,25;1128
"Wittenborn";6,19;1046
"Boostedt";27,11;7212
"Daldorf";15,16;618
"Groß Kummerfeld";30,19;1877
"Heidmühlen";17,83;677
"Latendorf";17,94;617
"Rickling";38,94;3222
"Bahrenhof";5,71;213
"Blunk";10,69;590
"Bühnsdorf";4,15;374
"Dreggers";2,79;51
"Fahrenkrug";6,21;1598
"Geschendorf";5,7;568
"Glasau";18,83;879
"Groß Rönnau";6,38;557
"Klein Gladebrügge";4,67;584
"Klein Rönnau";4,53;1891
"Krems II";11,25;381
"Negernbötel";16,97;1008
"Nehms";15,32;582
"Neuengörs";13,4;813
"Pronstorf";36,31;1624
"Rohlstorf";19,68;1203
"Schackendorf";7,85;900
"Schieren";6,36;263
"Seedorf";48,93;2249
"Stipsdorf";3,51;254
"Strukdorf";7,3;268
"Travenhorst";8,56;203
"Traventhal";5,37;524
"Wakendorf I";5,34;495
"Weede";16,41;1002
"Wensin";20,17;893
"Westerrade";5,62;443
"Glückstadt, Stadt";22,75;10885
"Itzehoe, Stadt";28,54;32258
"Wilster, Stadt";2,71;4369
